ID,longitude,latitude,Z,date,time,datetime,salinity,time_value,year
BL01,"105.7217111","9.280444444",,3/1/2019,"9",,"15.05",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"11",,"12.6",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"13",,"11.775",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"15",,"16.2",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"17",,"14.7",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"19",,"12.1",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"21",,"12.1",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/1/2019,"23",,"12.1",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"1",,"15.1",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"3",,"14.175",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"5",,"12.6",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"7",,"14.1",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"9",,"14.3",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"11",,"14.7",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"13",,"16",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"15",,"15.5",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"17",,"13.075",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"19",,"11.5",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"21",,"12.1",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/2/2019,"23",,"13.8",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"1",,"14.8",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"3",,"14.4",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"5",,"13.9",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"7",,"13.8",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"9",,"15.1",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"11",,"15.6",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"13",,"14.6",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"15",,"13.1",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"17",,"16.7",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"19",,"17",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"21",,"13.5",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/4/2019,"23",,"14.225",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"1",,"16.6",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"3",,"16",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"5",,"15.7",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"7",,"14.2",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"9",,"15",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"11",,"15.275",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"13",,"15.4",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"15",,"13.575",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"17",,"18.1",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"19",,"15.625",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"21",,"14.7",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/5/2019,"23",,"14.5",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"1",,"16.1",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"3",,"16.9",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"5",,"17.7",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"7",,"16",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"9",,"15.1",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"11",,"15.3",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"13",,"15.575",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"15",,"14.225",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"17",,"19.8",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"19",,"19.8",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"21",,"16.8",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/6/2019,"23",,"15.1",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"1",,"23.575",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"3",,"24.4",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"5",,"23.8",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"7",,"17.6",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"9",,"15.9",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"11",,"15.7",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"13",,"16.7",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"15",,"18.8",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"17",,"21.375",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"19",,"21.9",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"21",,"22.5",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/9/2019,"23",,"18",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"1",,"19.8",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"3",,"21",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"5",,"21.5",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"7",,"21.8",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"9",,"21.1",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"11",,"17.725",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"13",,"15.7",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"15",,"17",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"17",,"19.3",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"19",,"23.7",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"21",,"23.725",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/10/2019,"23",,"20.4",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"1",,"17.3",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"3",,"17.6",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"5",,"18.1",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"7",,"18",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"9",,"16.65",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"11",,"15.5",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"13",,"21.8",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"15",,"22.475",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"17",,"18.575",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"19",,"19.875",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"21",,"18.1",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/16/2019,"23",,"21.2",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"1",,"16.8",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"3",,"17",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"5",,"17.5",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"7",,"17.7",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"9",,"17.9",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"11",,"15.2",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"13",,"16.9",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"15",,"18.5",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"17",,"18.5",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"19",,"18.9",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"21",,"18.4",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/17/2019,"23",,"16.5",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"1",,"12.9",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"3",,"12",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"5",,"12.305",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"7",,"12.5",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"9",,"14.05",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"11",,"15",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"13",,"13.4",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"15",,"13",15:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"17",,"12.8",17:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"19",,"12.2",19:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"21",,"12.6",21:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/19/2019,"23",,"12.6",23:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/20/2019,"1",,"14.6",1:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/20/2019,"3",,"14",3:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/20/2019,"5",,"13.3",5:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/20/2019,"7",,"13.1",7:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/20/2019,"9",,"12.8",9:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/20/2019,"11",,"14.825",11:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/20/2019,"13",,"14.3",13:00:00,"2019"
BL01,"105.7217111","9.280444444",,3/20/2019,"15",,"14.2",15:00:00,"2019"
